county_label,month,housing_burden,price_income_ratio,total_county_invoice_count,total_county_invoice_amount,donation_count,donation_ratio,carrier_usage_ratio,n_active_industries,industry_hhi,date,year,month_num,month_sin,month_cos,avg_invoice_value,log_total_count,log_total_amount,county_type,donation_seasonal,donation_trend,donation_ratio_lag1,donation_ratio_lag2,donation_ratio_lag3,donation_ratio_roll3,county_name
17,2019-04,26.79,-0.47,10428616,3909487369,11828,0.001134186933338,0.173805613323954,38.0,0.5297165243581554,2019-04-01,2019,4,0.8660254037844387,-0.49999999999999983,374.8807482220076,16.16006421991082,22.086672094931476,agricultural,-0.00033993267297665144,0.0014887598680450847,0.0013202829869438,0.0012489229936328,0.0012985963709945,0.0012892674505237,雲林縣
17,2019-05,26.79,-0.47,10404486,4116811068,13701,0.0013168358340815,0.17789441977239434,39.0,0.5327363903651919,2019-05-01,2019,5,0.49999999999999994,-0.8660254037844387,395.6765445212767,16.15774771337482,22.138344688226965,agricultural,-7.821669218340582e-05,0.0014118153808143723,0.001134186933338,0.0013202829869438,0.0012489229936328,0.0012344643046382,雲林縣
17,2019-06,26.79,-0.47,10608907,4153432413,12892,0.0012152052987173,0.17541071855941429,39.0,0.532075434638528,2019-06-01,2019,6,1.2246467991473532e-16,-1.0,391.5042721177592,16.177204583521444,22.1472009170513,agricultural,-0.00013113150180636555,0.001334966709172023,0.0013168358340815,0.001134186933338,0.0013202829869438,0.0012571019181211,雲林縣
17,2019-07,25.51,-0.31,10896446,4619156506,12012,0.0011023777844629,0.18165473402979285,40.0,0.5273595904682092,2019-07-01,2019,7,-0.4999999999999998,-0.8660254037844388,423.9140455521002,16.203947330759036,22.25347795112893,agricultural,-0.00012662811389378893,0.0012582691650034348,0.0012152052987173,0.0013168358340815,0.001134186933338,0.0012220760220456,雲林縣
17,2019-08,25.51,-0.31,10590199,4366361375,12937,0.0012216012182585,0.18435215428907425,39.0,0.5287580779521147,2019-08-01,2019,8,-0.8660254037844384,-0.5000000000000004,412.3021082984371,16.17543960314052,22.197195862148188,agricultural,4.267310442893261e-05,0.0011818095023613646,0.0011023777844629,0.0012152052987173,0.0013168358340815,0.0012114729724205667,雲林縣
17,2019-09,25.51,-0.31,10662737,4365364204,13779,0.0012922573256753,0.18881427911051354,41.0,0.5297518395264058,2019-09-01,2019,9,-1.0,-1.8369701987210297e-16,409.403721014595,16.182265791752183,22.19696746032885,agricultural,0.00014988298669028113,0.0011057429675333501,0.0012216012182585,0.0011023777844629,0.0012152052987173,0.0011797281004795666,雲林縣
17,2019-10,26.37,0.21,10871818,4469502417,15545,0.0014298436563231,0.19288742692344554,43.0,0.5281616858782299,2019-10-01,2019,10,-0.8660254037844386,0.5000000000000001,411.10901755345793,16.201684586403747,22.220542923492147,agricultural,0.00038341038026438654,0.001030321234100341,0.0012922573256753,0.0012216012182585,0.0011023777844629,0.0012054121094655665,雲林縣
17,2019-11,26.37,0.21,10114862,4225277437,14171,0.0014010077448412,0.197100168049747,43.0,0.526591656108989,2019-11-01,2019,11,-0.5000000000000004,0.8660254037844384,417.7296177644342,16.129516484251035,22.16435076139846,agricultural,0.00042256152482938813,0.0009558884570364044,0.0014298436563231,0.0012922573256753,0.0012216012182585,0.0013145674000856332,雲林縣
17,2019-12,26.37,0.21,10099422,4472470298,13350,0.0013218578251309,0.20384473487690682,41.0,0.517164767993282,2019-12-01,2019,12,-2.4492935982947064e-16,1.0,442.84418435035195,16.12798885146671,22.22120673252018,agricultural,0.00046901837721378985,0.0008827892340644095,0.0014010077448412,0.0014298436563231,0.0012922573256753,0.0013743695756132,雲林縣
17,2020-01,29.55,0.78,11370505,6512525835,0,0.0,0.1851864978732255,42.0,0.5333384807742968,2020-01-01,2020,1,0.49999999999999994,0.8660254037844387,572.7560767969409,16.246533367814763,22.596993211158143,agricultural,-0.0003808084489462093,0.0008205751807947437,0.0013218578251309,0.0014010077448412,0.0014298436563231,0.0013842364087650666,雲林縣
17,2022-01,28.3,0.02,20355215,13611704399,29609,0.0014546149475699,0.3200173026912268,48.0,0.49964347748072013,2022-01-01,2022,1,0.49999999999999994,0.8660254037844387,668.7084562359081,16.828847751506245,23.334195877216448,agricultural,-0.00034114229045158337,0.0018422535275901993,,,,,雲林縣
17,2022-02,28.3,0.02,18626622,11189054242,24620,0.0013217640858337,0.31830011904466626,49.0,0.5069362811260062,2022-02-01,2022,2,0.8660254037844386,0.5000000000000001,600.702276666161,16.740102459372945,23.138201837646562,agricultural,-0.0005980461503223506,0.001981667749151522,0.0014546149475699,,,0.0014546149475699,雲林縣
